"岿","林具","荤绊扒荐","荤噶磊荐","吝惑磊荐","版惑磊荐","何惑脚绊磊荐"
"01","具","7641","155","2509","8330","756"
"01","林","9385","149","3236","9785","822"
"02","具","7295","153","2447","7937","685"
"02","林","8913","122","3071","9621","869"
"03","具","7263","160","2542","7471","671"
"03","林","9759","150","3376","10057","898"
"04","具","7439","165","2567","7636","719"
"04","林","10553","138","3663","10994","1064"
"05","具","7495","138","2576","7843","772"
"05","林","11141","171","3983","11566","1094"
"06","具","7194","118","2525","7397","715"
"06","林","10888","148","3779","11013","1145"
"07","具","7569","144","2605","7930","747"
"07","林","11130","171","3720","11930","1172"
"08","具","7441","188","2466","7741","739"
"08","林","10894","169","3804","11813","1186"
"09","具","7451","179","2572","7863","711"
"09","林","10920","169","3846","11650","1109"
"10","具","8100","169","2774","8360","716"
"10","林","11638","204","3999","11888","1099"
"11","具","7735","135","2622","8006","722"
"11","林","11294","163","3893","11662","1095"
"12","具","7574","159","2405","7905","799"
"12","林","10436","164","3278","11113","963"
